customer_id,last_transaction,transactions,unique_products,revenue,total_days,days_inactive,frequency,aov,country,total_products,churn,rev_seg,freq_seg,trans_seg
12346.0,2011-01-18 10:17:00,17,30,-28.85,400,203.0,23,-3.8047058823529407,United Kingdom,52,1,low,regular,Frequent
12347.0,2011-12-07 15:52:00,8,126,5633.32,402,,50,704.165,Iceland,3286,0,premium,regular,Regular
12348.0,2011-09-25 13:13:00,5,25,2019.4,362,,72,403.88,Finland,2714,0,high,frequent,Regular
12349.0,2011-11-21 09:51:00,5,139,4404.54,716,,143,880.908,Italy,1619,0,premium,frequent,Regular
12350.0,2011-02-02 16:01:00,1,17,334.4,0,187.0,0,334.4,Norway,197,1,medium,None,Rare
12351.0,2010-11-29 15:23:00,1,21,300.93,0,252.0,0,300.93,Unspecified,261,1,low,None,Rare
12352.0,2011-11-03 14:37:00,13,70,1889.21,356,,27,145.32384615384615,Norway,658,0,high,regular,Frequent
12353.0,2011-05-19 17:47:00,2,23,406.76,204,81.0,102,203.38,Bahrain,212,1,medium,frequent,Rare
12354.0,2011-04-21 13:11:00,1,58,1079.4,0,109.0,0,1079.4,Spain,530,1,high,None,Rare
12355.0,2011-05-09 13:49:00,2,35,947.61,353,91.0,176,473.805,Bahrain,543,1,high,frequent,Rare
12356.0,2011-11-17 08:40:00,6,104,6373.68,401,,66,1062.28,Portugal,3417,0,premium,frequent,Regular
12357.0,2011-11-06 16:07:00,3,261,18287.66,355,,118,1552.9375,Switzerland,6587,0,premium,frequent,Occasional
12358.0,2011-12-08 10:26:00,5,56,3887.07,730,,146,777.414,Austria,1079,0,premium,frequent,Regular
12359.0,2011-12-02 11:21:00,14,305,8714.89,726,,51,622.4921428571429,Cyprus,2526,0,premium,regular,Frequent
12360.0,2011-10-18 15:22:00,9,160,4212.89,603,,67,468.0988888888889,Austria,2458,0,premium,frequent,Frequent
12361.0,2011-02-25 13:51:00,4,18,511.25,394,164.0,98,127.8125,Belgium,235,1,medium,frequent,Occasional
12362.0,2011-12-06 15:40:00,14,201,5284.58,735,,52,377.47,Belgium,2213,0,premium,regular,Frequent
12363.0,2011-08-22 10:18:00,2,23,552.0,132,,66,276.0,Unspecified,408,0,medium,frequent,Rare
12364.0,2011-12-02 10:22:00,4,70,1313.1,104,,26,328.275,Belgium,1506,0,high,regular,Occasional
12365.0,2011-02-21 14:04:00,3,22,320.69,0,168.0,0,106.89666666666666,Cyprus,173,1,low,None,Occasional
12366.0,2010-03-16 10:28:00,1,3,500.24,0,511.0,0,500.24,Cyprus,296,1,medium,None,Rare
12367.0,2011-12-05 16:48:00,1,11,168.9,0,,0,168.9,Denmark,173,0,low,None,Rare
12368.0,2010-03-21 15:56:00,1,18,917.7,0,505.0,0,917.7,Cyprus,330,1,high,None,Rare
12369.0,2010-10-22 13:13:00,3,90,1791.15,228,290.0,76,597.05,Austria,1241,1,high,frequent,Occasional
12370.0,2011-10-19 14:51:00,4,39,1051.82,617,,154,262.955,Austria,303,0,high,frequent,Occasional
12370.0,2011-10-19 14:51:00,3,135,3268.49,617,,205,1089.4966666666667,Cyprus,2302,0,premium,frequent,Occasional
12371.0,2011-10-26 10:16:00,5,134,4067.38,600,,120,813.476,Switzerland,1436,0,premium,frequent,Regular
12372.0,2011-09-29 12:12:00,3,34,1298.04,224,,74,432.68,Denmark,794,0,high,frequent,Occasional
12373.0,2011-02-01 13:10:00,3,36,1127.65,362,188.0,120,375.88333333333327,Austria,516,1,high,frequent,Occasional
12374.0,2011-11-14 15:37:00,4,79,2989.22,563,,140,747.305,Austria,1362,0,premium,frequent,Occasional
12375.0,2011-12-07 11:27:00,3,14,455.42,95,,31,151.80666666666667,Finland,177,0,medium,regular,Occasional
12376.0,2010-11-15 12:15:00,2,11,503.15,28,267.0,14,251.575,Switzerland,240,1,medium,regular,Rare
12377.0,2011-01-28 15:45:00,4,129,3426.32,274,192.0,68,856.58,Switzerland,2105,1,premium,frequent,Occasional
12378.0,2011-08-02 10:34:00,2,281,5416.32,432,7.0,212,1552.9375,Switzerland,3316,1,premium,frequent,Rare
12379.0,2011-09-19 10:09:00,5,58,1618.27,452,,90,323.654,Belgium,814,0,high,frequent,Regular
12380.0,2011-11-18 11:27:00,15,156,7888.0,640,,42,525.8666666666667,Belgium,3325,0,premium,regular,Frequent
12381.0,2011-12-05 12:44:00,6,70,1803.96,115,,19,300.66,Norway,783,0,high,regular,Regular
12382.0,2010-01-26 16:25:00,1,1,-18.38,0,559.0,0,-18.38,Netherlands,-1,1,low,None,Rare
12383.0,2011-06-08 08:02:00,6,84,1839.31,167,62.0,27,306.5516666666666,Belgium,1529,1,high,regular,Regular
12384.0,2011-11-11 08:39:00,3,26,566.16,92,,30,188.72,Switzerland,121,0,medium,regular,Occasional
12385.0,2010-11-25 15:19:00,2,65,1923.4,0,256.0,0,961.7,Belgium,611,1,high,None,Rare
12386.0,2011-01-06 12:37:00,2,10,660.8,29,215.0,14,330.4,Australia,568,1,medium,regular,Rare
12387.0,2010-10-20 16:27:00,1,9,143.94,0,292.0,0,143.94,Australia,134,1,low,None,Rare
12388.0,2011-11-24 12:30:00,8,83,3901.11,566,,70,487.63875,Australia,2001,0,premium,frequent,Regular
12389.0,2010-11-02 11:52:00,3,41,1433.33,253,280.0,84,477.77666666666664,Australia,614,1,high,frequent,Occasional
12390.0,2011-09-21 09:33:00,1,32,549.84,0,,0,549.84,Belgium,353,0,medium,None,Rare
12391.0,2011-11-18 12:07:00,7,241,2747.82,641,,91,392.5457142857143,Cyprus,1212,0,premium,frequent,Regular
12392.0,2010-04-27 14:04:00,1,7,234.75,0,468.0,0,234.75,Australia,73,1,low,None,Rare
12393.0,2011-09-28 15:41:00,7,63,2376.75,356,,50,339.5357142857143,Australia,1305,0,premium,regular,Regular
12394.0,2011-10-07 08:08:00,1,21,381.08,153,,153,381.08,Belgium,182,0,medium,frequent,Rare
12394.0,2011-10-07 08:08:00,1,6,891.4,153,,153,891.4,Denmark,637,0,high,frequent,Rare
12395.0,2011-11-24 12:20:00,18,145,5046.92,587,,32,280.38444444444445,Belgium,3728,0,premium,regular,Frequent
12396.0,2010-02-03 13:22:00,1,65,931.43,0,551.0,0,931.43,RSA,591,1,high,None,Rare
12397.0,2011-11-04 09:52:00,2,110,2409.9,99,,49,1204.95,Belgium,1263,0,premium,regular,Rare
12398.0,2011-10-25 10:27:00,1,85,1635.66,0,,0,1552.9375,Switzerland,1394,0,high,None,Rare
12399.0,2011-08-12 13:15:00,7,67,1962.3,525,,75,280.3285714285714,Belgium,2198,0,high,frequent,Regular
12400.0,2010-10-21 13:45:00,1,11,205.25,0,291.0,0,205.25,Australia,91,1,low,None,Rare
12401.0,2011-02-09 13:50:00,1,5,84.3,0,180.0,0,84.3,Belgium,11,1,low,None,Rare
12402.0,2011-01-20 13:49:00,7,43,1244.15,347,200.0,49,177.73571428571427,Belgium,583,1,high,regular,Regular
12403.0,2011-10-21 11:00:00,3,5,1001.36,471,,157,333.78666666666663,Denmark,259,0,high,frequent,Occasional
12404.0,2010-01-26 16:25:00,1,1,63.24,0,559.0,0,63.24,Finland,1,1,low,None,Rare
12405.0,2011-07-14 08:52:00,1,54,1710.39,0,26.0,0,1552.9375,Finland,857,1,high,None,Rare
12406.0,2011-11-17 19:22:00,7,114,6072.21,675,,96,867.4585714285713,Denmark,3383,0,premium,frequent,Regular
12407.0,2011-10-21 10:11:00,5,57,1708.12,214,,42,341.624,Belgium,1416,0,high,regular,Regular
12408.0,2011-11-07 12:30:00,14,104,4279.64,465,,33,305.68857142857144,Belgium,2186,0,premium,regular,Frequent
12409.0,2011-09-22 10:38:00,13,177,23090.47,486,,37,1552.9375,Switzerland,13027,0,premium,regular,Frequent
12410.0,2011-02-11 15:47:00,4,36,1001.46,201,178.0,50,250.365,Switzerland,339,1,high,regular,Occasional
12411.0,2010-10-26 09:25:00,1,22,346.9,0,287.0,0,346.9,Australia,138,1,medium,None,Rare
12412.0,2011-09-26 10:16:00,8,82,2581.03,464,,58,322.62875,Denmark,1991,0,premium,frequent,Regular
12413.0,2011-10-04 09:00:00,5,29,694.15,335,,67,138.83,France,282,0,medium,frequent,Regular
12413.0,2011-10-04 09:00:00,1,13,241.35,335,,212,241.35,Spain,33,0,low,frequent,Rare
12414.0,2011-05-06 14:51:00,8,21,692.41,246,94.0,30,86.55125,Austria,301,1,medium,regular,Regular
12415.0,2011-11-15 14:22:00,33,498,26626.8,503,,15,1552.9375,Australia,91315,0,premium,regular,Frequent
12416.0,2010-02-21 10:19:00,1,11,202.56,0,534.0,0,202.56,Australia,132,1,low,None,Rare
12417.0,2011-12-06 14:52:00,25,239,6069.85,730,,29,242.794,Belgium,2504,0,premium,regular,Frequent
12417.0,2011-12-06 14:52:00,2,33,638.36,730,,212,319.18,Spain,372,0,medium,frequent,Rare
12418.0,2011-08-19 11:08:00,5,90,2016.95,517,,103,403.39,Switzerland,1087,0,high,frequent,Regular
12419.0,2010-11-19 10:04:00,2,23,503.01,27,263.0,13,251.505,Spain,231,1,medium,regular,Rare
12420.0,2011-10-07 08:55:00,1,29,600.39,0,,0,600.39,Cyprus,345,0,medium,None,Rare
12421.0,2011-11-24 09:07:00,8,45,1092.83,489,,61,136.60375,Spain,647,0,high,frequent,Regular
12422.0,2011-09-05 09:48:00,10,45,1749.65,625,,62,174.965,Australia,1327,0,high,frequent,Frequent
12422.0,2011-09-05 09:48:00,11,95,2369.7,625,,56,215.4272727272727,Switzerland,1264,0,premium,frequent,Frequent
12423.0,2011-12-09 10:10:00,10,118,2313.39,465,,46,231.339,Belgium,1699,0,premium,regular,Frequent
12423.0,2011-12-09 10:10:00,1,13,298.8,465,,212,298.8,Denmark,82,0,low,frequent,Rare
12424.0,2011-06-30 12:06:00,7,80,3289.78,569,40.0,81,469.96857142857135,Australia,2015,1,premium,frequent,Regular
12425.0,2011-09-22 17:31:00,3,87,1680.81,370,,123,560.27,Portugal,1103,0,high,frequent,Occasional
12426.0,2011-05-29 12:26:00,3,73,1311.41,468,72.0,156,437.13666666666666,Germany,577,1,high,frequent,Occasional
12427.0,2011-11-28 10:48:00,5,26,1011.87,360,,72,202.374,Germany,315,0,high,frequent,Regular
12428.0,2011-11-14 08:22:00,12,258,7877.2,257,,21,656.4333333333333,Finland,3503,0,premium,regular,Frequent
12429.0,2011-11-30 17:22:00,1,21,437.98,537,,212,437.98,Austria,198,0,medium,frequent,Rare
12429.0,2011-11-30 17:22:00,8,108,6997.53,537,,67,874.69125,Denmark,3026,0,premium,frequent,Regular
12430.0,2011-10-27 15:09:00,1,11,256.4,0,,0,256.4,Norway,117,0,low,None,Rare
12431.0,2011-11-04 11:55:00,27,137,7986.98,658,,24,295.8140740740741,Australia,3380,0,premium,regular,Frequent
12431.0,2011-11-04 11:55:00,6,123,2732.43,658,,109,455.405,Belgium,1281,0,premium,frequent,Regular
12432.0,2011-10-28 11:43:00,5,107,5059.32,129,,25,1011.864,Norway,1801,0,premium,regular,Regular
12433.0,2011-12-09 10:02:00,11,286,20428.86,476,,43,1552.9375,Norway,17115,0,premium,regular,Frequent
12434.0,2011-09-16 12:38:00,5,62,1062.48,296,,59,212.496,Australia,511,0,high,frequent,Regular
12435.0,2011-09-21 09:06:00,6,88,13925.93,657,,109,1552.9375,Denmark,4958,0,premium,frequent,Regular
12436.0,2011-09-01 12:09:00,1,16,509.01,0,,0,509.01,Norway,211,0,medium,None,Rare
12437.0,2011-12-08 11:35:00,47,274,12394.85,735,,15,263.72021276595746,France,7931,0,premium,regular,Frequent
12438.0,2011-11-25 13:28:00,2,84,2906.85,125,,62,1453.425,Norway,1180,0,premium,frequent,Rare
12439.0,2010-01-26 12:11:00,3,69,1104.48,43,560.0,14,368.16,Cyprus,454,1,high,regular,Occasional
12440.0,2010-09-08 15:57:00,3,21,768.15,260,334.0,86,256.05,Austria,308,1,medium,frequent,Occasional
12441.0,2010-12-08 10:45:00,1,11,347.1,0,244.0,0,347.1,France,242,1,medium,None,Rare
12442.0,2011-12-06 14:22:00,1,12,172.06,0,,0,172.06,Spain,182,0,low,None,Rare
12443.0,2009-12-07 15:42:00,1,21,485.31,0,609.0,0,485.31,Norway,182,1,medium,None,Rare
12444.0,2011-11-18 13:23:00,5,138,5005.46,149,,29,1001.092,Norway,1155,0,premium,regular,Regular
12445.0,2011-11-17 18:43:00,3,24,426.48,398,,132,142.16,Spain,204,0,medium,frequent,Occasional
12446.0,2011-10-13 12:50:00,1,58,1002.31,0,-65.0,0,1002.31,RSA,352,0,high,None,Rare
12447.0,2011-04-10 13:25:00,1,26,476.49,0,120.0,0,476.49,Belgium,190,1,medium,None,Rare
12448.0,2011-10-26 13:46:00,1,22,449.45,0,,0,449.45,Spain,243,0,medium,None,Rare
12449.0,2011-11-17 13:46:00,4,118,4067.29,416,,104,1016.8225,Belgium,1553,0,premium,frequent,Occasional
12449.0,2011-11-17 13:46:00,2,10,768.6,416,,208,384.3,Denmark,729,0,medium,frequent,Rare
12450.0,2011-07-06 14:41:00,7,31,666.95,318,33.0,45,95.27857142857142,Spain,435,1,medium,regular,Regular
12451.0,2011-11-29 08:40:00,10,352,12546.53,518,,51,1254.653,Switzerland,9226,0,premium,regular,Frequent
12452.0,2011-11-23 10:28:00,3,21,428.57,0,,0,142.85666666666665,Switzerland,183,0,medium,None,Occasional
12453.0,2011-07-28 14:08:00,1,43,707.09,0,11.0,0,707.09,Austria,473,1,medium,None,Rare
12454.0,2011-10-17 15:07:00,9,25,4292.71,628,,69,476.96777777777777,Spain,2232,0,premium,frequent,Frequent
